epoch,train_loss,val_loss,val_success,val_iou,val_angle_deg
1,0.0394064700986082,0.0320001697354018,0.055,0.0825421023927629,40.06316242218018
2,0.0360090809093939,0.0327527498826384,0.034375,0.0486635194043628,40.848832283020016
3,0.0358623507189321,0.0326133740134537,0.043125,0.0520171589497476,40.675294189453126
4,0.0355747669666737,0.0328518711030483,0.0475,0.0574505665840115,40.89802761077881
5,0.0353627420693367,0.0325396464951336,0.08,0.099847705066204,41.00139846801758
6,0.0353067026112799,0.032620781995356,0.06,0.0843044026600546,40.97599918365479
7,0.0352749077452195,0.0327053824067115,0.023125,0.0349442488758359,39.94466590881348
8,0.0353401101756471,0.0319494512304663,0.09125,0.1197628752863965,40.27208198547363
9,0.0350441213630072,0.0320586406998336,0.075625,0.1069901018962264,40.51173332214356
10,0.0350562037379892,0.0321050315164029,0.3690248565965583,0.3159798787544208,17.514907457717758
