epoch,train_loss,val_loss,val_success,val_iou,val_angle_deg
1,0.03810719758070804,0.032439665775746106,0.11408540471637986,0.1499453965955096,18.124356312446647
2,0.035621420975338235,0.0333291482925415,0.14340344168260039,0.16667394867034765,19.262096507682024
3,0.035055354086531175,0.03668881203979254,0.0,0.0037754215517764164,18.453867769901976
4,0.03450400318514119,0.07332078371196986,0.0,0.0019099404383951916,22.547882116274323
5,0.033133292184756684,0.04474604349583387,0.0025493945188017845,0.01071901966558213,18.43108500839915
6,0.032223413455056714,0.0907157800346613,0.0,0.025012513933281202,22.486802538855244
7,0.03175205483965508,0.0329482957161963,0.32950924155513067,0.2916960033177566,18.591270081785293
8,0.030893875067835457,0.08463993601500988,0.08221797323135756,0.14764479904096045,22.95002004377798
9,0.030711502642244905,0.033417147248983384,0.1752708731676227,0.16784433138444813,18.317232203385448
10,0.02969182126626775,0.04553789932280779,0.06500956022944551,0.07522581512957852,21.498852636965744
