epoch,train_loss,val_loss,val_success,val_iou,val_angle_deg
1,0.0545238279611677,0.028052011700347,0.09875,0.0967058093597006,33.52512371063232
2,0.0326713415047338,0.0306986335013061,0.099375,0.1162891788035631,33.27128116607666
3,0.0291278460440603,0.0278839687351137,0.045,0.0556220436096191,31.31556541442871
4,0.0279163717216736,0.0291298315743915,0.118125,0.1148363103624433,29.78006437301636
5,0.0266869499071224,0.0283133887406438,0.0,0.0010508781459066,30.37301919937134
6,0.0264809291079841,0.0279851895943284,0.17125,0.1472729130834341,30.8627490234375
7,0.0256004671289308,0.027589386133477,0.1675,0.1464892518520355,32.60703210830688
8,0.0258106644357646,0.0273004439892247,0.113125,0.1242546945065259,32.49063381195069
9,0.0248976304523042,0.0261553483922034,0.163125,0.1466672109812498,31.75337799072265
10,0.0249257044665314,0.0284113579522818,0.01375,0.0362061299756169,33.185142288208006
11,0.0246499248335624,0.0298809625487774,0.06,0.0502008386090165,32.00384120941162
12,0.0245988978878469,0.0287932619079947,0.16,0.1308329186961054,33.0345133972168
13,0.0244376366781825,0.0279243734001647,0.125,0.1355383119732141,33.17808490753174
14,0.0248358132619712,0.0285600608866661,0.021875,0.0421066240718937,33.394717922210695
15,0.0242145081881333,0.0286260209232568,0.02875,0.0498254703939892,34.82232650756836
16,0.0234903852950345,0.0275950520299375,0.170625,0.1558296496421098,34.13467891693115
17,0.0236761001870036,0.0269374181330204,0.09625,0.1077998831868171,34.60978607177734
18,0.0237023511247054,0.0272024555131793,0.21875,0.1650914065539837,32.394421348571775
19,0.0239447802640833,0.0275774163380265,0.043125,0.0620249320426955,34.5254670715332
20,0.023737028140474,0.0294363027345389,0.019375,0.0424973406584467,34.504092903137206
21,0.0233378284149341,0.029112751353532,0.009375,0.0167095879500266,32.32915098190308
22,0.0233349852213585,0.0274378116184379,0.119375,0.1168487633019685,33.65715564727783
23,0.0234916571418645,0.0309260296169668,0.01125,0.0185817537567891,30.822268867492674
24,0.0229521795670996,0.0299479673383757,0.02,0.0337108735437504,31.917382068634037
25,0.023309150626799,0.0329666692763567,0.0,0.0001176217425017,33.094881801605226
26,0.0231165303555023,0.0282248967792838,0.06125,0.0776189699122915,33.634053230285645
27,0.022577838804405,0.0304357385169714,0.105625,0.1133684735745191,31.349228439331053
28,0.0231572070687606,0.028462105737999,0.03875,0.0652757202088832,35.52476139068604
29,0.0232767312292445,0.027698693331331,0.0875,0.1106991712749004,32.03425409317017
30,0.0231161728031463,0.028276108703576,0.14875,0.1417367939651012,33.36368282318115
31,0.022943284547141,0.0270445062825456,0.186875,0.1668117036670446,33.19149765014649
32,0.0224221751328792,0.0287731536710634,0.09375,0.0967882858216762,31.36536233901977
33,0.022142237211737,0.027930829944089,0.084375,0.098053854778409,35.0642911529541
34,0.022534981906951,0.0287633666954934,0.065,0.0916687290929257,35.792648239135744
35,0.0227760221758807,0.0289474883163347,0.080625,0.0929125300131272,31.55246150970459
36,0.0221085652776129,0.0282471710257232,0.12375,0.1219504968076944,35.09278812408447
37,0.0220723407728983,0.0302017486095428,0.083125,0.0756683712918311,34.518776512146
38,0.0226583497279936,0.0286685716640204,0.100625,0.1015292562171816,35.16281740188599
39,0.0222823838996994,0.0281392326951026,0.134375,0.1187645149976015,31.86513147354126
40,0.0221673201366856,0.0274798033386468,0.135625,0.1380928731709718,32.93235946655273
41,0.0220184980363056,0.0273885497031733,0.17625,0.1505130970105528,31.54978832244873
42,0.021994026805702,0.0276779400743544,0.048125,0.0529757069359766,34.90067249298096
43,0.0216978330685345,0.027439496750012,0.09375,0.0972042799741029,32.03445068359375
44,0.0216750843567891,0.0273985243588686,0.096875,0.1042852325737476,34.13534721374512
45,0.0219413561008132,0.0274460771866142,0.16,0.1484022056311369,30.08033479690552
46,0.0216290732291904,0.0293174762558192,0.153125,0.127417255602777,31.420354537963867
47,0.0220869449764355,0.0271745406463742,0.13875,0.1341860980540514,34.70749095916748
48,0.021925126303088,0.0264920069021172,0.200625,0.1580414213985204,32.14825656890869
49,0.0216110996432132,0.0285955389495939,0.1525,0.1295812504738569,32.87933366775513
50,0.0216331139441814,0.0276773928618058,0.6730401529636711,0.37701283628174304,11.745155854555504
