experiment,pre_val_success_mean,post_val_success_mean,delta_val_success_mean,pre_val_iou_mean,post_val_iou_mean,delta_val_iou_mean,pre_val_angle_deg_mean,post_val_angle_deg_mean,delta_val_angle_deg_mean,pre_val_loss_mean,post_val_loss_mean,delta_val_loss_mean,pre_best_epoch_mean,post_best_epoch_mean
EXP1_SIMPLE_RGB,0.20288931378797534,0.2740599107711918,0.07117059698321646,0.23273356960965566,0.22537958256289936,-0.0073539870467562996,19.928338366812103,17.190994819999656,-2.737343546812447,0.0765900001612802,0.03208647442981597,-0.04450352573146423,10.0,6.0
EXP2_SIMPLE_RGBD,0.378585086042065,0.3804971319311663,0.0019120458891013214,0.32357729188858725,0.3168668045127754,-0.006710487375811869,17.881763951201233,17.872977086887307,-0.008786864313925946,0.03218852511296663,0.03201132935161386,-0.00017719576135277054,10.0,9.333333333333334
EXP3_RESNET18_RGB_AUGMENT,0.6768642447418739,0.6800509878903761,0.0031867431485022024,0.3808565326928135,0.4010354506768043,0.020178917983990796,10.332306077646544,10.607080734653213,0.2747746570066685,0.0292361593774209,0.02972551719397107,0.000489357816550167,50.0,29.666666666666668
EXP4_RESNET18_RGBD,0.6541321436158912,0.6492458041215211,-0.004886339494370118,0.38203668238818683,0.387898228210442,0.005861545822255176,11.661295244351615,11.425986409544876,-0.23530883480673914,0.0286020985230182,0.028290512236611266,-0.0003115862864069355,50.0,43.666666666666664
