epoch,train_loss,val_loss,val_success,val_iou,val_angle_deg
1,0.0521338390907994,0.0322705743927508,0.06875,0.0826344552449882,31.197994346618653
2,0.0328171594689289,0.0288141648750752,0.04875,0.0615529695921577,31.91205633163452
3,0.02937939387184,0.0268023184442427,0.201875,0.1610645326972007,30.259827575683595
4,0.0282552439115337,0.028608716931194,0.150625,0.1490877785533666,31.17842809677124
5,0.0269914701295731,0.0280163480853661,0.03125,0.0532261043680045,30.32731185913086
6,0.0256606068562816,0.0271557451225817,0.12,0.1089080414921045,32.79354370117188
7,0.0256216838905537,0.0270433171791955,0.15625,0.1486530511081218,31.858258514404294
8,0.0256344959693583,0.0291315571963787,0.065625,0.0862771189305931,33.79658500671387
9,0.0247793273060574,0.0285650240629911,0.00125,0.0056836118969329,31.36101137161255
10,0.024764612082157,0.034432779373601,0.098125,0.1102279055863618,34.70812881469727
11,0.024570778280765,0.0277856348082423,0.034375,0.043386190511519,31.31670408248901
12,0.024260096436551,0.0268749668262898,0.0475,0.0672701364519889,32.683365211486816
13,0.0243047749254483,0.0277865078812465,0.018125,0.0466137479845201,32.26758903503418
14,0.0242882456613687,0.0304965479020029,0.01,0.0125820517493411,31.935581912994383
15,0.0244598785029338,0.0288484523817896,0.06,0.0774789156764745,36.69032733917236
16,0.0241299789516372,0.0290779513027518,0.028125,0.0455024764942936,32.9949694442749
17,0.0240886106264886,0.027664301181212,0.105625,0.1048749874904751,33.615048007965086
18,0.0234078788911705,0.0283865278121083,0.115,0.1194762047380209,31.96502031326294
19,0.0236990480927062,0.0269976940285414,0.1425,0.1354626254178583,32.136055870056154
20,0.0237218502170599,0.0270634270377922,0.15875,0.1324574247747659,34.13431972503662
21,0.0238938030224662,0.0282336334441788,0.05375,0.0523828912246972,31.68435256958008
22,0.0234567599438197,0.035876918118447,0.0,0.0007835138228256,33.779276008605954
23,0.0237558623356325,0.0276423069648444,0.029375,0.0444922696612775,34.127915954589845
24,0.023597551912472,0.0275382136506959,0.095,0.1059357772022485,33.93129447937012
25,0.0233189716247153,0.0335143199376761,0.08375,0.0912554452102631,35.05547622680664
26,0.0235478868624111,0.0287499019503593,0.103125,0.1063001341745257,33.860588760375975
27,0.0231409417968746,0.0308142996579408,0.0,0.0035401920072399,35.61534099578857
28,0.0230541508477013,0.0290747882612049,0.016875,0.0329594279197044,36.46933151245117
29,0.0231103124600407,0.0279749846085906,0.069375,0.0726802609954029,34.80945400238037
30,0.0230330193650212,0.0278388804383575,0.086875,0.1039588864333927,34.41710807800293
31,0.0229612890849108,0.0268304217746481,0.070625,0.0945778966788202,32.455165252685546
32,0.0235765810577651,0.0287879360606893,0.049375,0.063465229589492,30.994720726013185
33,0.0227369385360329,0.0283841226343065,0.151875,0.1302034551650285,33.31901393890381
34,0.0227048383975351,0.027035444388166,0.065,0.0581382311030756,32.321282958984376
35,0.0225839127727725,0.0280372180137783,0.17,0.1505185776576399,34.486553802490235
36,0.0223686514455858,0.0285235403245314,0.105625,0.1107702429592609,34.08570165634156
37,0.0223092968021897,0.0267926292202901,0.09375,0.0963241461478173,31.31937480926514
38,0.0222322441352246,0.0294273456273367,0.155,0.1278835518658161,29.915682888031007
39,0.0230942329114957,0.0313679089769721,0.01625,0.0270742931230779,36.59065166473388
40,0.022453930698805,0.0293553921673446,0.176875,0.1403548608720302,31.922622947692872
41,0.0223150390812808,0.0273735541198402,0.155,0.1430482992529869,33.10200721740723
42,0.0219271863466716,0.0284724173881113,0.099375,0.101428891737014,33.69042984008789
43,0.0218594269239687,0.0277257160469889,0.0525,0.0597464643651619,32.00848316192627
44,0.0222776340538854,0.0269296226254664,0.166875,0.1511895048618316,32.33179517745972
45,0.021936294387791,0.027361944373697,0.09125,0.1134672579169273,34.49605792999267
46,0.0216841360906491,0.0274689014256,0.1625,0.1376117783784866,33.802080421447755
47,0.0216729997799874,0.0264053100720047,0.109375,0.0944725151360035,31.224847297668457
48,0.0218530321611208,0.0283327762130647,0.15125,0.1267719450592994,31.499128189086917
49,0.0218265093779107,0.0288016639370471,0.025,0.0352584796468204,35.1382625579834
50,0.0212158595572586,0.0279457292705774,0.6411727214786488,0.381382437664452,10.142471843927586
