epoch,train_loss,val_loss,val_success,val_iou,val_angle_deg,experiment,seed,model,modality,status
1,0.0376035209141067,0.0322927350364625,0.2217973231357552,0.1723631144582134,17.65838964692959,EXP1_SIMPLE_RGB,0,SimpleGraspCNN,RGB,oficial
2,0.0352773303249934,0.0415482796728611,0.0050987890376035,0.0158850838940797,22.696954910073565,EXP1_SIMPLE_RGB,0,SimpleGraspCNN,RGB,oficial
3,0.0338077759286304,0.0498639510199427,0.0535372848948374,0.1443356577013119,20.729904097045065,EXP1_SIMPLE_RGB,0,SimpleGraspCNN,RGB,oficial
4,0.0318083979927741,0.1205773296952247,0.0,0.0009867372029081,21.982641881522397,EXP1_SIMPLE_RGB,0,SimpleGraspCNN,RGB,oficial
5,0.0307777050781894,0.1081180182099342,0.0101975780752071,0.0050884653973226,24.861687953177917,EXP1_SIMPLE_RGB,0,SimpleGraspCNN,RGB,oficial
6,0.0301940472427386,0.1633416108787059,0.0,0.0005751364309036,25.90057568237268,EXP1_SIMPLE_RGB,0,SimpleGraspCNN,RGB,oficial
7,0.0302430191622661,0.070589791201055,0.0707456978967495,0.1438574420752371,23.02705547119134,EXP1_SIMPLE_RGB,0,SimpleGraspCNN,RGB,oficial
8,0.029500891546811,0.1047256513684988,0.0,0.0253807087259034,22.84185887772194,EXP1_SIMPLE_RGB,0,SimpleGraspCNN,RGB,oficial
9,0.0291591576627782,0.0921400415897369,0.0509878903760356,0.1046128092915731,23.47856906978665,EXP1_SIMPLE_RGB,0,SimpleGraspCNN,RGB,oficial
10,0.0294641923948048,0.0909935681521892,0.0337794773741236,0.0728629972835974,23.783466508681517,EXP1_SIMPLE_RGB,0,SimpleGraspCNN,RGB,oficial
1,0.0396108944472428,0.0334238146618008,0.212874442319949,0.2257012511925557,19.68865878308969,EXP1_SIMPLE_RGB,1,SimpleGraspCNN,RGB,oficial
2,0.0355561434350035,0.0350862919911742,0.2014021669853409,0.2178002320139112,20.425995848238124,EXP1_SIMPLE_RGB,1,SimpleGraspCNN,RGB,oficial
3,0.0348129566121208,0.0351610166206955,0.130019120458891,0.1625525695004018,20.3678383940882,EXP1_SIMPLE_RGB,1,SimpleGraspCNN,RGB,oficial
4,0.0341300811316515,0.0338512173108756,0.0356915232632249,0.0519423083028463,16.391793595767485,EXP1_SIMPLE_RGB,1,SimpleGraspCNN,RGB,oficial
5,0.0338340457528829,0.0661921611241996,0.0031867431485022,0.006062877817784,22.01525354626241,EXP1_SIMPLE_RGB,1,SimpleGraspCNN,RGB,oficial
6,0.0320205973914346,0.1903312696516513,0.0,0.0,24.610584213960145,EXP1_SIMPLE_RGB,1,SimpleGraspCNN,RGB,oficial
7,0.0317601280974912,0.0427526311669498,0.1363926067558954,0.1462905942140756,20.133922275609446,EXP1_SIMPLE_RGB,1,SimpleGraspCNN,RGB,oficial
8,0.0308885106162444,0.0760953722894191,0.0063734862970044,0.0267620117538525,23.714700134139388,EXP1_SIMPLE_RGB,1,SimpleGraspCNN,RGB,oficial
9,0.0303857259469123,0.0655165454186499,0.0121096239643084,0.1207313329159043,24.41499700371049,EXP1_SIMPLE_RGB,1,SimpleGraspCNN,RGB,oficial
10,0.0301232235757885,0.0310183925367891,0.2708731676226896,0.2120796299127281,15.323324731284076,EXP1_SIMPLE_RGB,1,SimpleGraspCNN,RGB,oficial
