experiment,epoch,train_loss,val_loss,val_success,val_iou,val_angle_deg,seed,best_epoch
EXP1_SIMPLE_RGB,10.0,0.0294888205071156,0.1511762310564518,0.2409177820267686,0.2572865887382817,20.9378550765015,0.0,10.0
EXP1_SIMPLE_RGB,10.0,0.0301696953221081,0.0360784483514726,0.2045889101338432,0.2274056431401429,19.531757221413294,1.0,10.0
EXP1_SIMPLE_RGB,10.0,0.029748343401127,0.0425153210759162,0.1631612492033142,0.2135084769505424,19.315402802521515,2.0,10.0
EXP2_SIMPLE_RGBD,10.0,0.0348885578380243,0.03250348104164,0.3887826641172721,0.3248106990955089,18.41829623302992,0.0,10.0
EXP2_SIMPLE_RGBD,10.0,0.0350562037379892,0.0321050315164029,0.3690248565965583,0.3159798787544208,17.514907457717758,1.0,10.0
EXP2_SIMPLE_RGBD,10.0,0.0348398160726369,0.031957062780857,0.3779477374123645,0.329941297815832,17.712088162856016,2.0,10.0
EXP3_RESNET18_RGB_AUGMENT,50.0,0.0248257148893432,0.0298953987471759,0.7189292543021033,0.366352625889955,8.655550885384597,0.0,50.0
EXP3_RESNET18_RGB_AUGMENT,50.0,0.0244615731827981,0.0291562099661678,0.6488209050350542,0.3977380042478319,12.17861432816795,1.0,50.0
EXP3_RESNET18_RGB_AUGMENT,50.0,0.0246402880864905,0.028656869418919,0.662842574888464,0.3784789679406536,10.16275301938709,2.0,50.0
EXP4_RESNET18_RGBD,50.0,0.0215096817528073,0.0301831734366714,0.6481835564053537,0.3877147732183654,13.09625803457176,0.0,50.0
EXP4_RESNET18_RGBD,50.0,0.0216331139441814,0.0276773928618058,0.6730401529636711,0.377012836281743,11.745155854555504,1.0,50.0
EXP4_RESNET18_RGBD,50.0,0.0212158595572586,0.0279457292705774,0.6411727214786488,0.381382437664452,10.142471843927586,2.0,50.0
