epoch,train_loss,val_loss,val_success,val_iou,val_angle_deg
1,0.0381016435084847,0.0324605270475149,0.02625,0.0440612073708325,40.29553672790527
2,0.0356352073350199,0.0331093296781182,0.035,0.0717780506983399,41.09668743133545
3,0.0349712454722271,0.0359389860183,0.0,0.0001613176733371,40.73017436981201
4,0.0343489518036713,0.0613139642775058,0.0,0.0008306781371538,42.32676700592041
5,0.0329063550006967,0.0429478891938924,0.030625,0.0293216240871697,40.58864074707032
6,0.0322100904577218,0.3292375928163528,0.0,0.0,41.54104782104492
7,0.03156030204919,0.0331725954264402,0.031875,0.0322260575927794,37.52718814849854
8,0.0310546636984155,0.0597621685639023,0.016875,0.04471705036005,47.42864555358887
9,0.0306577533315699,0.0317193488962948,0.02375,0.0450310375970002,37.62734369277954
10,0.029748343401127,0.0425153210759162,0.1631612492033142,0.2135084769505424,19.315402802521515
