wall_time,ros_time,shoulder_pan,shoulder_lift,elbow,wrist_1,wrist_2,wrist_3,finger1,finger2,vel_pan,vel_lift,vel_elbow,vel_w1,vel_w2,vel_w3,eff_pan,eff_lift,eff_elbow,eff_w1,eff_w2,eff_w3,dh_x,dh_y,dh_z,dh_roll,dh_pitch,dh_yaw
1777116264.952,277.524000000,-0.661214,-1.810686,2.164340,0.047627,-5.376013,-4.709492,1.000000,1.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,nan,nan,nan,nan,nan,nan,-0.068974,-0.265908,0.402992,-88.543681,-55.451390,176.199465
1777116264.978,277.532000000,-0.661214,-1.810686,2.164340,0.047627,-5.376013,-4.709492,1.000000,1.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,nan,nan,nan,nan,nan,nan,-0.068974,-0.265908,0.402992,-88.543681,-55.451390,176.199465
1777116265.022,277.543000000,-0.661214,-1.810686,2.164340,0.047627,-5.376013,-4.709492,1.000000,1.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,-0.068974,-0.265908,0.402992,-88.543681,-55.451390,176.199465
1777116265.041,277.551000000,-0.661214,-1.810686,2.164340,0.047627,-5.376013,-4.709492,1.000000,1.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,nan,nan,nan,nan,nan,nan,-0.068974,-0.265908,0.402992,-88.543681,-55.451390,176.199465
1777116265.064,277.560000000,-0.661214,-1.810686,2.164340,0.047627,-5.376013,-4.709492,1.000000,1.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,nan,nan,nan,nan,nan,nan,-0.068974,-0.265908,0.402992,-88.543681,-55.451390,176.199465
1777116265.096,277.566000000,-0.661214,-1.810686,2.164340,0.047627,-5.376013,-4.709492,1.000000,1.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,nan,nan,nan,nan,nan,nan,-0.068974,-0.265908,0.402992,-88.543681,-55.451390,176.199465
1777116265.142,277.576000000,-0.661214,-1.810686,2.164340,0.047627,-5.376013,-4.709492,1.000000,1.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,nan,nan,nan,nan,nan,nan,-0.068974,-0.265908,0.402992,-88.543681,-55.451390,176.199465
1777116265.159,277.584000000,-0.661214,-1.810686,2.164340,0.047627,-5.376013,-4.709492,1.000000,1.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,nan,nan,nan,nan,nan,nan,-0.068974,-0.265908,0.402992,-88.543681,-55.451390,176.199465
1777116265.182,277.592000000,-0.661214,-1.810686,2.164340,0.047627,-5.376013,-4.709492,1.000000,1.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,nan,nan,nan,nan,nan,nan,-0.068974,-0.265908,0.402992,-88.543681,-55.451390,176.199465
1777116265.198,277.600000000,-0.661214,-1.810686,2.164340,0.047627,-5.376013,-4.709492,1.000000,1.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,nan,nan,nan,nan,nan,nan,-0.068974,-0.265908,0.402992,-88.543681,-55.451390,176.199465
