experiment,epoch,train_loss,val_loss,val_success,val_iou,val_angle_deg,seed,best_epoch
EXP1_SIMPLE_RGB,1.0,0.0376035209141067,0.0322927350364625,0.2217973231357552,0.1723631144582134,17.65838964692959,0,1
EXP1_SIMPLE_RGB,10.0,0.0301232235757885,0.0310183925367891,0.2708731676226896,0.2120796299127281,15.323324731284076,1,10
EXP1_SIMPLE_RGB,7.0,0.031752054839655,0.0329482957161963,0.3295092415551306,0.2916960033177566,18.591270081785293,2,7
EXP2_SIMPLE_RGBD,10.0,0.0349121695501847,0.0321920350566506,0.3855959209687699,0.3125385341837182,18.38049215122136,0,10
EXP2_SIMPLE_RGBD,8.0,0.0352955396949976,0.0319561220519244,0.3734862970044614,0.3206097081804827,17.57411017423483,1,8
EXP2_SIMPLE_RGBD,10.0,0.0348375692862916,0.0318858309462666,0.3824091778202677,0.3174521711741253,17.66432893520573,2,10
EXP3_RESNET18_RGB_AUGMENT,13.0,0.0271601215139165,0.0301221397798508,0.6902485659655831,0.4023367749102544,9.707551627843957,0,13
EXP3_RESNET18_RGB_AUGMENT,33.0,0.0257846494247247,0.0302783678413834,0.6462715105162524,0.4059485004442109,12.274050852285072,1,33
EXP3_RESNET18_RGB_AUGMENT,43.0,0.0245811462335221,0.028776043960679,0.7036328871892925,0.3948210766759475,9.839639723830611,2,43
EXP4_RESNET18_RGBD,34.0,0.0225727861361192,0.0289090662263333,0.655831739961759,0.3961314896879653,12.16458469624674,0,34
EXP4_RESNET18_RGBD,47.0,0.0220550300788369,0.0285293630301021,0.6347992351816444,0.367068411497771,10.92118871181505,1,47
EXP4_RESNET18_RGBD,50.0,0.0212298174229291,0.0274331074533984,0.65710643722116,0.4004947834455899,11.192185820572837,2,50
