experiment,model,modality,val_success,val_iou,val_angle_deg,val_loss
EXP1_SIMPLE_RGB,SimpleGraspCNN,RGB,0.2741 +- 0.0440,0.2254 +- 0.0496,17.1910 +- 1.3745,0.0321 +- 0.0008
EXP2_SIMPLE_RGBD,SimpleGraspCNN,RGB-D,0.3805 +- 0.0051,0.3169 +- 0.0033,17.8730 +- 0.3608,0.0320 +- 0.0001
EXP3_RESNET18_RGB_AUGMENT,ResNet18Grasp,RGB,0.6801 +- 0.0245,0.4010 +- 0.0046,10.6071 +- 1.1800,0.0297 +- 0.0007
EXP4_RESNET18_RGBD,ResNet18Grasp,RGB-D,0.6492 +- 0.0102,0.3879 +- 0.0148,11.4260 +- 0.5339,0.0283 +- 0.0006
