experiment,device,batch_size,warmup,repeats,latency_ms_mean,latency_ms_std,latency_ms_p95,fps,latency_ms_min,n_params,model_size_mb
EXP1_SIMPLE_RGB,cpu,1,5,20,4.450956702930853,0.321959287951657,4.976260446710512,224.6707992781693,3.6362319951877,110853,0.4228706359863281
EXP2_SIMPLE_RGBD,cpu,1,5,20,5.1552731019910425,0.401718494196603,6.0650890751276165,193.97614446726115,4.797634901478887,111141,0.4239692687988281
EXP3_RESNET18_RGB_AUGMENT,cpu,1,5,20,7.382543897256255,0.1182585870078554,7.595106912776828,135.454663584412,7.249454036355019,11179077,42.64479446411133
EXP4_RESNET18_RGBD,cpu,1,5,20,7.558206049725413,0.13297288970353816,7.74019691743888,132.30652795398845,7.441672962158918,11182213,42.65675735473633
