epoch,train_loss,val_loss,val_success,val_iou,val_angle_deg
1,0.05377640623834219,0.03373185198754072,0.1504142766093053,0.14168864340606446,14.631960668716319
2,0.0342869630234467,0.028680362682789565,0.6500956022944551,0.3859698143527481,11.959698419158341
3,0.030195696178723027,0.027239516673143952,0.4219247928616954,0.2833439545757743,11.05292647412482
4,0.02810205320349416,0.027089628478279337,0.32950924155513067,0.27479498684202913,11.12247598473519
5,0.02706923211614291,0.026629887871677055,0.461440407903123,0.323553251289201,10.10587338153975
6,0.026419307910711377,0.027210880550555885,0.35372848948374763,0.2737853033886607,11.146140843696429
7,0.02584989175938808,0.028917673516552896,0.5755258126195029,0.33202332399914847,10.687533096487018
8,0.025403912095269106,0.026901592179201544,0.07966857871255577,0.1453588827177748,10.502092528073337
9,0.02485693203335678,0.02651181381661445,0.17144678138942002,0.19769443009193594,9.916161933402691
10,0.024827188208095124,0.027577437409199775,0.5927342256214149,0.3669910680848513,12.299963580854218
11,0.02469448944100657,0.03081170730292797,0.06118546845124283,0.05243453487370068,12.696434437056547
12,0.02463030554186385,0.028640815671533346,0.21733588272785215,0.21017333170804836,11.451559034964433
13,0.024025679171622336,0.027869652507361023,0.06947100063734862,0.0603339374576778,11.425250443939225
14,0.02430674300302525,0.03480906270444393,0.3792224346717655,0.29035745829849535,15.397853275658171
15,0.02427573240286595,0.027877285285503605,0.23645634161886553,0.20510321979956928,11.34257757784335
16,0.023893248348555586,0.028940080581232906,0.03760356915232632,0.04433154301114824,11.5269037711806
17,0.023416256422999205,0.03721198783023283,0.2084130019120459,0.21513379792997042,16.47870196721674
18,0.02493558047960202,0.031903083063662054,0.014021669853409816,0.006840768812222013,12.40529896546529
19,0.02399798422246366,0.029091030014678835,0.3702995538559592,0.27581304363392084,13.160613599009855
20,0.02344055522468176,0.02849041786044836,0.15678776290630975,0.13562500616932488,13.16294604147495
21,0.02356875443680061,0.030131776770576834,0.14212874442319948,0.13949729477940662,12.807125508498705
22,0.02354391509046157,0.026888431345578282,0.20650095602294455,0.19785574503288453,10.75363501989596
23,0.023109289674877045,0.02864677559584379,0.5022307202039515,0.34267633213795196,11.492266041341885
24,0.02296086933530934,0.029616941651329397,0.038878266411727216,0.0626778654155196,11.845817100917778
25,0.023482397811168485,0.030043582334183156,0.2708731676226896,0.21917725791487355,13.257810217438896
26,0.02346084639430046,0.028408666469622403,0.38878266411727214,0.2833234430439918,11.068475802996717
27,0.02316061698470835,0.030314026093110444,0.46016571064372214,0.2899685926854391,11.932694952039629
28,0.022520598552718357,0.029279236188158392,0.3065646908859146,0.2417903661141522,12.104510221567907
29,0.022849761142588413,0.028890687404200435,0.021032504780114723,0.0549725085570471,11.883828656075828
30,0.022825648706104304,0.027271416829898955,0.3454429572976418,0.2511528314937097,13.21266710497455
31,0.022805795870587096,0.027232284543570132,0.40152963671128106,0.2900544698663972,11.700749018146917
32,0.022333458527452773,0.027753028934821487,0.2530274059910771,0.22940882078284658,12.413708709055175
33,0.02280236390494817,0.028837807783856986,0.5487571701720841,0.3575423650759891,12.277511297471934
34,0.022572786136119214,0.02890906622633338,0.655831739961759,0.3961314896879653,12.16458469624674
35,0.02242492545429651,0.027580702177947388,0.5589547482472913,0.33439379050633233,10.035314754702126
36,0.022492135245655034,0.02852748744189739,0.3951561504142766,0.27740603253131735,11.8474558851417
37,0.02275123222739444,0.02900697337463498,0.5404716379859783,0.35842043972304516,12.522783518033366
38,0.02215172736360146,0.028027671081945302,0.5889101338432122,0.3490093650295415,11.91074570594743
39,0.021937288738250196,0.027431595702655614,0.48502230720203954,0.36545872150268316,11.933180527844872
40,0.022295644515202388,0.028336078189313413,0.3792224346717655,0.2605930820339379,13.905597603990282
41,0.022285619893253925,0.02808324059471488,0.3792224346717655,0.3159896320179014,12.919520405748337
42,0.022216804468215588,0.029855709047988056,0.4091778202676864,0.26057829277466354,12.237093472015241
43,0.021742583638443065,0.028258302677422763,0.26704907584448695,0.233744436213803,13.26492499145442
44,0.022098979509964183,0.027413062502164395,0.574251115360102,0.37088725046303356,11.67898769035587
45,0.021924816642527108,0.028489397894591092,0.39579349904397704,0.31518964226345786,13.683587000909494
46,0.02223905449447868,0.02841876994818449,0.5474824729126833,0.3682496265463433,12.002614479291429
47,0.021629083935204928,0.029561398359946908,0.37348629700446145,0.26505539643179815,11.94244067324645
48,0.022296981961541885,0.028196057261666282,0.367112810707457,0.23186542459756856,12.220509006901992
49,0.021638428775576857,0.027364739186596126,0.46335245379222434,0.31078054085216267,13.273227748948074
50,0.021526900766132114,0.027902783404570072,0.5965583173996176,0.35544297914746464,11.98769277870324
