index,wall_time,sim_time_ns,object_x,object_y,object_z,tcp_x,tcp_y,tcp_z,dist_tcp_object,attached_state,object_disp_from_start,tcp_disp_from_start,object_step,tcp_step,anomaly_detached_object_motion,anomaly_far_attached,anomaly_object_moves_more_than_tcp
0,1773731943.02786,1773731943027864746,,,,,,,,,,,,,False,False,False
1,1773731943.0805187,1773731943080525980,-0.42,8.409937492055881e-20,0.8749994277780444,,,,,,0.0,,,,False,False,False
2,1773731943.0878677,1773731943087869335,-0.42,8.409937492055881e-20,0.8749994277780444,-0.032749999999999946,0.4214499999611738,0.7695089999135591,0.581988741590682,,0.0,0.0,0.0,,False,False,False
3,1773731943.1375647,1773731943137567963,-0.42,8.409937492055881e-20,0.8749994277780444,-0.032749999999999946,0.4214499999611738,0.7695089999135591,0.581988741590682,,0.0,0.0,0.0,0.0,False,False,False
4,1773731943.187492,1773731943187495119,-0.42,8.409937492055881e-20,0.8749994277780444,-0.032749999999999946,0.4214499999611738,0.7695089999135591,0.581988741590682,,0.0,0.0,0.0,0.0,False,False,False
5,1773731943.237569,1773731943237571715,-0.42,8.409937492055881e-20,0.8749994277780444,-0.032749999999999946,0.4214499999611738,0.7695089999135591,0.581988741590682,,0.0,0.0,0.0,0.0,False,False,False
6,1773731943.2875235,1773731943287528151,-0.42,8.409937492055881e-20,0.8749994277780444,-0.032749999999999946,0.4214499999611738,0.7695089999135591,0.581988741590682,,0.0,0.0,0.0,0.0,False,False,False
7,1773731943.3392518,1773731943339254480,-0.42,8.409937492055881e-20,0.8749994277780444,-0.032749999999999946,0.4214499999611738,0.7695089999135591,0.581988741590682,,0.0,0.0,0.0,0.0,False,False,False
8,1773731943.3875654,1773731943387570544,-0.42,8.409937492055881e-20,0.8749994277780444,-0.032749999999999946,0.4214499999611738,0.7695089999135591,0.581988741590682,,0.0,0.0,0.0,0.0,False,False,False
9,1773731943.4377048,1773731943437707609,-0.42,8.409937492055881e-20,0.8749994277780444,-0.032749999999999946,0.4214499999611738,0.7695089999135591,0.581988741590682,,0.0,0.0,0.0,0.0,False,False,False
10,1773731943.4874885,1773731943487491736,-0.42,8.409937492055881e-20,0.8749994277780444,-0.032749999999999946,0.4214499999611738,0.7695089999135591,0.581988741590682,,0.0,0.0,0.0,0.0,False,False,False
11,1773731943.537518,1773731943537520252,-0.42,8.409937492055881e-20,0.8749994277780444,-0.032749999999999946,0.4214499999611738,0.7695089999135591,0.581988741590682,,0.0,0.0,0.0,0.0,False,False,False
12,1773731943.6277835,1773731943627787720,-0.42,8.409937492055881e-20,0.8749994277780444,,,,,,0.0,,0.0,,False,False,False
13,1773731943.6374147,1773731943637416565,-0.42,8.409937492055881e-20,0.8749994277780444,-0.032749999999999946,0.4214499999611738,0.7695089999135591,0.581988741590682,,0.0,0.0,0.0,,False,False,False
14,1773731943.687495,1773731943687497271,-0.42,8.409937492055881e-20,0.8749994277780444,-0.032749999999999946,0.4214499999611738,0.7695089999135591,0.581988741590682,,0.0,0.0,0.0,0.0,False,False,False
15,1773731943.737534,1773731943737538657,-0.42,8.409937492055881e-20,0.8749994277780444,-0.032749999999999946,0.4214499999611738,0.7695089999135591,0.581988741590682,,0.0,0.0,0.0,0.0,False,False,False
16,1773731943.7875643,1773731943787567193,-0.42,8.409937492055881e-20,0.8749994277780444,-0.032749999999999946,0.4214499999611738,0.7695089999135593,0.581988741590682,,0.0,1.1102230246251565e-16,0.0,1.1102230246251565e-16,False,False,False
17,1773731943.8375134,1773731943837516499,-0.42,8.409937492055881e-20,0.8749994277780444,-0.03275000000000017,0.4214499999611738,0.7695089999135591,0.5819887415906818,,0.0,2.220446049250313e-16,0.0,2.482534153247273e-16,False,False,False
18,1773731943.8875697,1773731943887574345,-0.42,8.409937492055881e-20,0.8749994277780444,-0.03275000000000017,0.4214499999611738,0.7695089999135591,0.5819887415906818,,0.0,2.220446049250313e-16,0.0,0.0,False,False,False
19,1773731943.9376137,1773731943937618151,-0.42,8.409937492055881e-20,0.8749994277780444,-0.032749999999999946,0.4214499999611738,0.7695089999135591,0.581988741590682,,0.0,0.0,0.0,2.220446049250313e-16,False,False,False
20,1773731943.9874983,1773731943987501367,-0.42,8.409937492055881e-20,0.8749994277780444,-0.032749999999999946,0.4214499999611738,0.7695089999135591,0.581988741590682,,0.0,0.0,0.0,0.0,False,False,False
21,1773731944.037501,1773731944037505654,-0.42,8.409937492055881e-20,0.8749994277780444,-0.032749999999999946,0.4214499999611738,0.7695089999135591,0.581988741590682,,0.0,0.0,0.0,0.0,False,False,False
22,1773731944.0875416,1773731944087547050,-0.42,8.409937492055881e-20,0.8749994277780444,-0.032749999999999946,0.4214499999611738,0.7695089999135591,0.581988741590682,,0.0,0.0,0.0,0.0,False,False,False
23,1773731944.1375437,1773731944137546786,-0.42,8.409937492055881e-20,0.8749994277780444,-0.032749999999999946,0.4214499999611738,0.7695089999135591,0.581988741590682,,0.0,0.0,0.0,0.0,False,False,False
24,1773731944.187549,1773731944187552342,-0.42,8.409937492055881e-20,0.8749994277780444,-0.032749999999999946,0.4214499999611738,0.7695089999135591,0.581988741590682,,0.0,0.0,0.0,0.0,False,False,False
25,1773731944.2375333,1773731944237536628,-0.42,8.409937492055881e-20,0.8749994277780444,-0.032749999999999946,0.4214499999611738,0.7695089999135591,0.581988741590682,,0.0,0.0,0.0,0.0,False,False,False
26,1773731944.2874851,1773731944287490214,-0.42,8.409937492055881e-20,0.8749994277780444,-0.032749999999999946,0.4214499999611738,0.7695089999135591,0.581988741590682,,0.0,0.0,0.0,0.0,False,False,False
27,1773731944.3375804,1773731944337585660,-0.42,8.409937492055881e-20,0.8749994277780444,-0.032749999999999946,0.4214499999611738,0.7695089999135591,0.581988741590682,,0.0,0.0,0.0,0.0,False,False,False
28,1773731944.3875773,1773731944387581286,-0.42,8.409937492055881e-20,0.8749994277780444,-0.032749999999999946,0.4214499999611738,0.7695089999135591,0.581988741590682,,0.0,0.0,0.0,0.0,False,False,False
29,1773731944.4374828,1773731944437486273,-0.42,8.409937492055881e-20,0.8749994277780444,-0.032749999999999946,0.4214499999611738,0.7695089999135591,0.581988741590682,,0.0,0.0,0.0,0.0,False,False,False
