experiment,n_seeds,val_success_mean,val_success_std,val_iou_mean,val_iou_std,val_angle_deg_mean,val_angle_deg_std,val_loss_mean,val_loss_std,model,modality
EXP1_SIMPLE_RGB,3,0.2028893137879753,0.0317667128714466,0.2327335696096556,0.0182651009354515,19.928338366812103,0.7192798708894329,0.0765900001612802,0.0528058564427504,SimpleGraspCNN,RGB
EXP2_SIMPLE_RGBD,3,0.378585086042065,0.0080786714858005,0.3235772918885872,0.0057660659931272,17.881763951201233,0.3878317716939738,0.0321885251129666,0.0002307547246603,SimpleGraspCNN,RGB-D
EXP3_RESNET18_RGB_AUGMENT,3,0.6768642447418739,0.0302902688262105,0.3808565326928135,0.0129228506731243,10.332306077646544,1.4432729437273168,0.0292361593774209,0.0005087780495185,ResNet18Grasp,RGB
EXP4_RESNET18_RGBD,3,0.6541321436158912,0.0136729066579172,0.3820366823881868,0.004393471722739,11.661295244351615,1.2073352659108074,0.0286020985230182,0.0011233430817595,ResNet18Grasp,RGB-D
