experiment,device,batch_size,latency_ms_mean,latency_ms_std,latency_ms_p95,fps,n_params,model_size_mb
EXP1_SIMPLE_RGB,cpu,1,4.663528548553586,0.2077313292451843,5.186277446773602,214.42990850997447,110853,0.4228706359863281
EXP2_SIMPLE_RGBD,cpu,1,5.013294748641783,0.2243939353790352,5.410361949907383,199.46962030726857,111141,0.4239692687988281
EXP3_RESNET18_RGB_AUGMENT,cpu,1,7.176708400220377,0.0650276223025228,7.318172042141668,139.33964489476716,11179077,42.64479446411133
EXP4_RESNET18_RGBD,cpu,1,7.340366851713043,0.2069078018228929,7.570757911162219,136.23297311995069,11182213,42.65675735473633
EXP1_SIMPLE_RGB,cuda,1,0.3302707482362166,0.0058570856862589,0.3374555446498561,3027.8188587406444,110853,0.4228706359863281
EXP2_SIMPLE_RGBD,cuda,1,0.3301552511402406,0.0043519106189306,0.3381750029802788,3028.8780703815864,111141,0.4239692687988281
EXP3_RESNET18_RGB_AUGMENT,cuda,1,1.3021905011555646,0.0052671503619747,1.30829698900925,767.9367950484967,11179077,42.64479446411133
EXP4_RESNET18_RGBD,cuda,1,1.3161608985683415,0.0073724064011108,1.3267410002299584,759.785525529404,11182213,42.65675735473633
