epoch,train_loss,val_loss,val_success,val_iou,val_angle_deg
1,0.05414841532170236,59.44120819091797,0.0,0.0,23.0592452590124
2,0.044397745365360834,125.17317489624024,0.0,0.0,20.400906207099318
3,0.04334164897466565,59.79785827636719,0.0,0.0,23.28691311832713
4,0.04277041277571304,51.06307319641113,0.0,0.0,22.825640598800636
5,0.042739253054868,21.92567798614502,0.0,0.0,19.22449870201699
6,0.04195958162817332,20.255592041015625,0.0,0.0,19.62916867103214
7,0.04175893630127649,24.27093532562256,0.0,0.0,20.964253883288684
8,0.041518029798795514,8.580031509399413,0.0,0.0,25.036012060140123
9,0.04184081813169492,3.411189179420471,0.0,0.0,17.317172560784815
10,0.041297107095922436,2.2165395975112916,0.0,0.0,24.38503445842626
