epoch,train_loss,val_loss,val_success,val_iou,val_angle_deg
1,0.03695887968212635,0.03222046654671431,0.28935627788400253,0.21260978694718913,17.137138720800568
2,0.03534049012169645,0.03251330487430096,0.29063097514340347,0.22015999688385543,17.381892078667853
3,0.03542851993965136,0.03259834446012974,0.31994901210962395,0.2498668910217147,18.848558581243097
4,0.03534489410283329,0.03215683737769723,0.23964308476736776,0.21324913954719704,17.500378547497064
5,0.03508021982873345,0.03245983168482781,0.23581899298916506,0.21047723595232984,18.15441945192841
6,0.03496555848097479,0.03333199532702565,0.0076481835564053535,0.035405760629409165,17.997250776657577
7,0.03490060626587889,0.03195531599223614,0.37348629700446145,0.30974248449751435,17.59908409647869
8,0.03494130737811058,0.032280402462929486,0.17144678138942002,0.16615912193379767,16.971077302031766
9,0.03489205645615453,0.03213922221213579,0.1905672402804334,0.2327009592235351,18.030795566315728
10,0.03483756928629166,0.03188583094626665,0.3824091778202677,0.3174521711741253,17.66432893520573
