wall_time,ros_time,shoulder_pan,shoulder_lift,elbow,wrist_1,wrist_2,wrist_3,finger1,finger2,vel_pan,vel_lift,vel_elbow,vel_w1,vel_w2,vel_w3,eff_pan,eff_lift,eff_elbow,eff_w1,eff_w2,eff_w3,dh_x,dh_y,dh_z,dh_roll,dh_pitch,dh_yaw
1777116093.728,221.160000000,-0.661214,-1.810686,2.164340,0.047627,-5.376013,-4.709492,1.000000,1.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,nan,nan,nan,nan,nan,nan,-0.068974,-0.265908,0.402992,-88.543681,-55.451390,176.199465
1777116093.759,221.167000000,-0.661214,-1.810686,2.164340,0.047627,-5.376013,-4.709492,1.000000,1.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,nan,nan,nan,nan,nan,nan,-0.068974,-0.265908,0.402992,-88.543681,-55.451390,176.199465
1777116093.805,221.174000000,-0.661214,-1.810686,2.164340,0.047627,-5.376013,-4.709492,1.000000,1.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,-0.068974,-0.265908,0.402992,-88.543681,-55.451390,176.199465
1777116093.837,221.184000000,-0.661214,-1.810686,2.164340,0.047627,-5.376013,-4.709492,1.000000,1.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,nan,nan,nan,nan,nan,nan,-0.068974,-0.265908,0.402992,-88.543681,-55.451390,176.199465
1777116093.849,221.191000000,-0.661214,-1.810686,2.164340,0.047627,-5.376013,-4.709492,1.000000,1.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,-0.068974,-0.265908,0.402992,-88.543681,-55.451390,176.199465
1777116093.875,221.200000000,-0.661214,-1.810686,2.164340,0.047627,-5.376013,-4.709492,1.000000,1.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,nan,nan,nan,nan,nan,nan,-0.068974,-0.265908,0.402992,-88.543681,-55.451390,176.199465
1777116093.939,221.208000000,-0.661214,-1.810686,2.164340,0.047627,-5.376013,-4.709492,1.000000,1.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,nan,nan,nan,nan,nan,nan,-0.068974,-0.265908,0.402992,-88.543681,-55.451390,176.199465
1777116093.960,221.215000000,-0.661214,-1.810686,2.164340,0.047627,-5.376013,-4.709492,1.000000,1.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,-0.068974,-0.265908,0.402992,-88.543681,-55.451390,176.199465
1777116093.977,221.222000000,-0.661214,-1.810686,2.164340,0.047627,-5.376013,-4.709492,1.000000,1.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,-0.068974,-0.265908,0.402992,-88.543681,-55.451390,176.199465
1777116093.993,221.231000000,-0.661214,-1.810686,2.164340,0.047627,-5.376013,-4.709492,1.000000,1.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,nan,nan,nan,nan,nan,nan,-0.068974,-0.265908,0.402992,-88.543681,-55.451390,176.199465
1777116094.010,221.240000000,-0.661214,-1.810686,2.164340,0.047627,-5.376013,-4.709492,1.000000,1.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,nan,nan,nan,nan,nan,nan,-0.068974,-0.265908,0.402992,-88.543681,-55.451390,176.199465
1777116094.034,221.244000000,-0.661214,-1.810686,2.164340,0.047627,-5.376013,-4.709492,1.000000,1.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,nan,nan,nan,nan,nan,nan,-0.068974,-0.265908,0.402992,-88.543681,-55.451390,176.199465
1777116094.088,221.256000000,-0.661214,-1.810686,2.164340,0.047627,-5.376013,-4.709492,1.000000,1.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,nan,nan,nan,nan,nan,nan,-0.068974,-0.265908,0.402992,-88.543681,-55.451390,176.199465
1777116094.100,221.262000000,-0.661214,-1.810686,2.164340,0.047627,-5.376013,-4.709492,1.000000,1.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,-0.068974,-0.265908,0.402992,-88.543681,-55.451390,176.199465
1777116094.142,221.271000000,-0.661214,-1.810686,2.164340,0.047627,-5.376013,-4.709492,1.000000,1.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,nan,nan,nan,nan,nan,nan,-0.068974,-0.265908,0.402992,-88.543681,-55.451390,176.199465
1777116094.177,221.280000000,-0.661214,-1.810686,2.164340,0.047627,-5.376013,-4.709492,1.000000,1.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,-0.068974,-0.265908,0.402992,-88.543681,-55.451390,176.199465
1777116094.221,221.287000000,-0.661214,-1.810686,2.164340,0.047627,-5.376013,-4.709492,1.000000,1.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,nan,nan,nan,nan,nan,nan,-0.068974,-0.265908,0.402992,-88.543681,-55.451390,176.199465
1777116094.246,221.296000000,-0.661214,-1.810686,2.164340,0.047627,-5.376013,-4.709492,1.000000,1.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,-0.068974,-0.265908,0.402992,-88.543681,-55.451390,176.199465
1777116094.280,221.304000000,-0.661214,-1.810686,2.164340,0.047627,-5.376013,-4.709492,1.000000,1.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,nan,nan,nan,nan,nan,nan,-0.068974,-0.265908,0.402992,-88.543681,-55.451390,176.199465
