experiment,model,modality,status,n_seeds,val_success_mean,val_success_std,val_iou_mean,val_iou_std,val_angle_deg_mean,val_angle_deg_std,val_loss_mean,val_loss_std,best_epoch_mean,best_epoch_std
EXP1.1_SIMPLEGRASP_RGB,SimpleGrasp,RGB,auxiliar,3,0.3645634161886551,0.10135847255053812,0.2476975150239177,0.08079102326766838,14.53771672836527,1.5388826879431832,0.03363357288762923,0.002367966708348928,6.666666666666667,2.0816659994661326
EXP1.2_SIMPLEGRASP_RGBD,SimpleGrasp,RGB-D,auxiliar,3,0.41427660930529003,0.04039503346715318,0.3078661340909057,0.05166539213190482,17.12003690254504,0.2045612770327709,0.0333529257153471,0.0006298389230707427,2.3333333333333335,1.5275252316519468
EXP1_SIMPLE_RGB,SimpleGraspCNN,RGB,oficial,3,0.2740599107711918,0.05392662460525821,0.22537958256289936,0.06076801087960358,17.190994819999652,1.6833627495719037,0.03208647442981597,0.0009813455807523403,6.0,4.58257569495584
EXP2_SIMPLE_RGBD,SimpleGraspCNN,RGB-D,oficial,3,0.3804971319311663,0.006277156024089304,0.3168668045127754,0.004067302916881993,17.872977086887307,0.4418297314603008,0.03201132935161386,0.00016039365248745309,9.333333333333334,1.1547005383792515
EXP3_RESNET18_RGB_AUGMENT,ResNet18Grasp,RGB,final,3,0.6800509878903761,0.03000957901081844,0.4010354506768043,0.005676704457698274,10.607080734653215,1.4451483820298607,0.02972551719397107,0.0008259699554803003,29.666666666666668,15.275252316519467
EXP4_RESNET18_RGBD,ResNet18Grasp,RGB-D,oficial,3,0.6492458041215211,0.012527319301300658,0.3878982282104421,0.018170595238363414,11.425986409544876,0.6538389940023208,0.028290512236611266,0.0007664208054419408,43.666666666666664,8.504900548115383
