wall_time,parent_frame,child_frame,tx,ty,tz,qx,qy,qz,qw,tf_age_sec
1777116027.543,world,base_link,-0.850000,0.000000,0.850000,0.000000,0.000000,0.000000,1.000000,1777115827.482
1777116027.543,base_link,rg2_pinch_center,0.493165,-0.044600,0.199839,0.803916,-0.087002,0.581674,-0.088350,1777115827.472
1777116027.543,base_link,tool0,0.326809,-0.051747,0.253687,0.803916,-0.087002,0.581674,-0.088350,1777115827.472
1777116027.543,base_link,rg2_tcp,0.493165,-0.044600,0.199839,0.803916,-0.087002,0.581674,-0.088350,1777115827.472
1777116027.543,world,rg2_pinch_center,-0.356835,-0.044600,1.049839,0.803916,-0.087002,0.581674,-0.088350,1777115827.483
1777116027.543,world,tool0,-0.523191,-0.051747,1.103687,0.803916,-0.087002,0.581674,-0.088350,1777115827.483
1777116027.543,world,rg2_tcp,-0.356835,-0.044600,1.049839,0.803916,-0.087002,0.581674,-0.088350,1777115827.483
1777116027.543,tool0,rg2_pinch_center,0.000000,0.000000,0.175000,0.000000,0.000000,0.000000,1.000000,1777116027.544
1777116028.044,world,base_link,-0.850000,0.000000,0.850000,0.000000,0.000000,0.000000,1.000000,1777115827.854
1777116028.044,base_link,rg2_pinch_center,0.493165,-0.044600,0.199839,0.803916,-0.087002,0.581674,-0.088350,1777115827.860
1777116028.044,base_link,tool0,0.326809,-0.051747,0.253687,0.803916,-0.087002,0.581674,-0.088350,1777115827.860
1777116028.044,base_link,rg2_tcp,0.493165,-0.044600,0.199839,0.803916,-0.087002,0.581674,-0.088350,1777115827.860
1777116028.044,world,rg2_pinch_center,-0.356835,-0.044600,1.049839,0.803916,-0.087002,0.581674,-0.088350,1777115827.860
1777116028.044,world,tool0,-0.523191,-0.051747,1.103687,0.803916,-0.087002,0.581674,-0.088350,1777115827.861
1777116028.044,world,rg2_tcp,-0.356835,-0.044600,1.049839,0.803916,-0.087002,0.581674,-0.088350,1777115827.861
1777116028.044,tool0,rg2_pinch_center,0.000000,0.000000,0.175000,0.000000,0.000000,0.000000,1.000000,1777116028.045
1777116028.543,world,base_link,-0.850000,0.000000,0.850000,0.000000,0.000000,0.000000,1.000000,1777115828.254
1777116028.543,base_link,rg2_pinch_center,0.493165,-0.044600,0.199839,0.803916,-0.087002,0.581674,-0.088350,1777115828.248
1777116028.543,base_link,tool0,0.326809,-0.051747,0.253687,0.803916,-0.087002,0.581674,-0.088350,1777115828.248
1777116028.543,base_link,rg2_tcp,0.493165,-0.044600,0.199839,0.803916,-0.087002,0.581674,-0.088350,1777115828.248
1777116028.543,world,rg2_pinch_center,-0.356835,-0.044600,1.049839,0.803916,-0.087002,0.581674,-0.088350,1777115828.255
1777116028.543,world,tool0,-0.523191,-0.051747,1.103687,0.803916,-0.087002,0.581674,-0.088350,1777115828.255
1777116028.543,world,rg2_tcp,-0.356835,-0.044600,1.049839,0.803916,-0.087002,0.581674,-0.088350,1777115828.255
1777116028.543,tool0,rg2_pinch_center,0.000000,0.000000,0.175000,0.000000,0.000000,0.000000,1.000000,1777116028.544
1777116029.046,world,base_link,-0.850000,0.000000,0.850000,0.000000,0.000000,0.000000,1.000000,1777115828.588
1777116029.046,base_link,rg2_pinch_center,0.493165,-0.044600,0.199839,0.803916,-0.087002,0.581674,-0.088350,1777115828.583
1777116029.046,base_link,tool0,0.326809,-0.051747,0.253687,0.803916,-0.087002,0.581674,-0.088350,1777115828.583
1777116029.046,base_link,rg2_tcp,0.493165,-0.044600,0.199839,0.803916,-0.087002,0.581674,-0.088350,1777115828.584
1777116029.046,world,rg2_pinch_center,-0.356835,-0.044600,1.049839,0.803916,-0.087002,0.581674,-0.088350,1777115828.589
1777116029.046,world,tool0,-0.523191,-0.051747,1.103687,0.803916,-0.087002,0.581674,-0.088350,1777115828.589
1777116029.046,world,rg2_tcp,-0.356835,-0.044600,1.049839,0.803916,-0.087002,0.581674,-0.088350,1777115828.589
1777116029.046,tool0,rg2_pinch_center,0.000000,0.000000,0.175000,0.000000,0.000000,0.000000,1.000000,1777116029.047
1777116029.544,world,base_link,-0.850000,0.000000,0.850000,0.000000,0.000000,0.000000,1.000000,1777115828.952
1777116029.544,base_link,rg2_pinch_center,0.493165,-0.044600,0.199839,0.803916,-0.087002,0.581674,-0.088350,1777115828.968
1777116029.544,base_link,tool0,0.326809,-0.051747,0.253687,0.803916,-0.087002,0.581674,-0.088350,1777115828.968
