wall_time,ros_time,shoulder_pan,shoulder_lift,elbow,wrist_1,wrist_2,wrist_3,finger1,finger2,vel_pan,vel_lift,vel_elbow,vel_w1,vel_w2,vel_w3,eff_pan,eff_lift,eff_elbow,eff_w1,eff_w2,eff_w3,dh_x,dh_y,dh_z,dh_roll,dh_pitch,dh_yaw
1777116027.859,200.143000000,-0.661214,-1.810686,2.164340,0.047627,-5.376013,-4.709492,1.000000,1.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,nan,nan,nan,nan,nan,nan,-0.068973,-0.265908,0.402991,-88.543678,-55.451423,176.199462
1777116027.869,200.149000000,-0.661214,-1.810686,2.164340,0.047627,-5.376013,-4.709492,1.000000,1.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,nan,nan,nan,nan,nan,nan,-0.068973,-0.265908,0.402991,-88.543678,-55.451423,176.199462
1777116027.893,200.159000000,-0.661214,-1.810686,2.164340,0.047627,-5.376013,-4.709492,1.000000,1.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,nan,nan,nan,nan,nan,nan,-0.068973,-0.265908,0.402991,-88.543678,-55.451423,176.199462
1777116027.936,200.168000000,-0.661214,-1.810686,2.164340,0.047627,-5.376013,-4.709492,1.000000,1.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,nan,nan,nan,nan,nan,nan,-0.068973,-0.265908,0.402991,-88.543678,-55.451423,176.199462
1777116027.951,200.176000000,-0.661214,-1.810686,2.164340,0.047627,-5.376013,-4.709492,1.000000,1.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,nan,nan,nan,nan,nan,nan,-0.068973,-0.265908,0.402991,-88.543678,-55.451423,176.199462
1777116028.003,200.184000000,-0.661214,-1.810686,2.164340,0.047627,-5.376013,-4.709492,1.000000,1.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,nan,nan,nan,nan,nan,nan,-0.068973,-0.265908,0.402991,-88.543678,-55.451423,176.199462
1777116028.011,200.191000000,-0.661214,-1.810686,2.164340,0.047627,-5.376013,-4.709492,1.000000,1.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,nan,nan,nan,nan,nan,nan,-0.068973,-0.265908,0.402991,-88.543678,-55.451423,176.199462
1777116028.053,200.200000000,-0.661214,-1.810686,2.164340,0.047627,-5.376013,-4.709492,1.000000,1.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,nan,nan,nan,nan,nan,nan,-0.068973,-0.265908,0.402991,-88.543678,-55.451423,176.199462
1777116028.064,200.207000000,-0.661214,-1.810686,2.164340,0.047627,-5.376013,-4.709492,1.000000,1.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,nan,nan,nan,nan,nan,nan,-0.068973,-0.265908,0.402991,-88.543678,-55.451423,176.199462
1777116028.109,200.216000000,-0.661214,-1.810686,2.164340,0.047627,-5.376013,-4.709492,1.000000,1.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,nan,nan,nan,nan,nan,nan,-0.068973,-0.265908,0.402991,-88.543678,-55.451423,176.199462
1777116028.126,200.223000000,-0.661214,-1.810686,2.164340,0.047627,-5.376013,-4.709492,1.000000,1.000000,-0.000001,0.000001,0.000000,-0.000000,-0.000000,-0.000000,nan,nan,nan,nan,nan,nan,-0.068973,-0.265908,0.402991,-88.543678,-55.451423,176.199462
1777116028.153,200.230000000,-0.661214,-1.810686,2.164340,0.047627,-5.376013,-4.709492,1.000000,1.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,nan,nan,nan,nan,nan,nan,-0.068973,-0.265908,0.402991,-88.543678,-55.451423,176.199462
1777116028.172,200.240000000,-0.661214,-1.810686,2.164340,0.047627,-5.376013,-4.709492,1.000000,1.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,nan,nan,nan,nan,nan,nan,-0.068973,-0.265908,0.402991,-88.543678,-55.451423,176.199462
1777116028.211,200.246000000,-0.661214,-1.810686,2.164340,0.047627,-5.376013,-4.709492,1.000000,1.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,nan,nan,nan,nan,nan,nan,-0.068973,-0.265908,0.402991,-88.543678,-55.451423,176.199462
1777116028.226,200.256000000,-0.661214,-1.810686,2.164340,0.047627,-5.376013,-4.709492,1.000000,1.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,nan,nan,nan,nan,nan,nan,-0.068973,-0.265908,0.402991,-88.543678,-55.451423,176.199462
1777116028.267,200.263000000,-0.661214,-1.810686,2.164340,0.047627,-5.376013,-4.709492,1.000000,1.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,nan,nan,nan,nan,nan,nan,-0.068973,-0.265908,0.402991,-88.543678,-55.451423,176.199462
1777116028.273,200.272000000,-0.661214,-1.810686,2.164340,0.047627,-5.376013,-4.709492,1.000000,1.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,nan,nan,nan,nan,nan,nan,-0.068973,-0.265908,0.402991,-88.543678,-55.451423,176.199462
1777116028.316,200.279000000,-0.661214,-1.810686,2.164340,0.047627,-5.376013,-4.709492,1.000000,1.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,nan,nan,nan,nan,nan,nan,-0.068973,-0.265908,0.402991,-88.543678,-55.451423,176.199462
1777116028.334,200.287000000,-0.661214,-1.810686,2.164340,0.047627,-5.376013,-4.709492,1.000000,1.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,nan,nan,nan,nan,nan,nan,-0.068973,-0.265908,0.402991,-88.543678,-55.451423,176.199462
1777116028.371,200.296000000,-0.661214,-1.810686,2.164340,0.047627,-5.376013,-4.709492,1.000000,1.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,nan,nan,nan,nan,nan,nan,-0.068973,-0.265908,0.402991,-88.543678,-55.451423,176.199462
1777116028.396,200.304000000,-0.661214,-1.810686,2.164340,0.047627,-5.376013,-4.709492,1.000000,1.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,nan,nan,nan,nan,nan,nan,-0.068973,-0.265908,0.402991,-88.543678,-55.451423,176.199462
1777116028.436,200.311000000,-0.661214,-1.810686,2.164340,0.047627,-5.376013,-4.709492,1.000000,1.000000,-0.000001,0.000001,0.000000,-0.000000,-0.000000,-0.000000,nan,nan,nan,nan,nan,nan,-0.068973,-0.265908,0.402991,-88.543678,-55.451423,176.199462
1777116028.453,200.320000000,-0.661214,-1.810686,2.164340,0.047627,-5.376013,-4.709492,1.000000,1.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,nan,nan,nan,nan,nan,nan,-0.068973,-0.265908,0.402991,-88.543678,-55.451423,176.199462
1777116028.506,200.326000000,-0.661214,-1.810686,2.164340,0.047627,-5.376013,-4.709492,1.000000,1.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,nan,nan,nan,nan,nan,nan,-0.068973,-0.265908,0.402991,-88.543678,-55.451423,176.199462
1777116028.514,200.336000000,-0.661214,-1.810686,2.164340,0.047627,-5.376013,-4.709492,1.000000,1.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,nan,nan,nan,nan,nan,nan,-0.068973,-0.265908,0.402991,-88.543678,-55.451423,176.199462
1777116028.549,200.344000000,-0.661214,-1.810686,2.164340,0.047627,-5.376013,-4.709492,1.000000,1.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,nan,nan,nan,nan,nan,nan,-0.068973,-0.265908,0.402991,-88.543678,-55.451423,176.199462
1777116028.577,200.351000000,-0.661214,-1.810686,2.164340,0.047627,-5.376013,-4.709492,1.000000,1.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,nan,nan,nan,nan,nan,nan,-0.068973,-0.265908,0.402991,-88.543678,-55.451423,176.199462
1777116028.607,200.358000000,-0.661214,-1.810686,2.164340,0.047627,-5.376013,-4.709492,1.000000,1.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,nan,nan,nan,nan,nan,nan,-0.068973,-0.265908,0.402991,-88.543678,-55.451423,176.199462
1777116028.625,200.368000000,-0.661214,-1.810686,2.164340,0.047627,-5.376013,-4.709492,1.000000,1.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,nan,nan,nan,nan,nan,nan,-0.068973,-0.265908,0.402991,-88.543678,-55.451423,176.199462
